Person: (m, 26 Jahre,184.0 cm,86.4 kg) ist übergewichtig
Person: (m, 25 Jahre,188.0 cm,91.4 kg) ist übergewichtig
Person: (m, 49 Jahre,182.9 cm,89.1 kg) ist übergewichtig
Person: (m, 54 Jahre,176.5 cm,85.0 kg) ist übergewichtig
Person: (m, 23 Jahre,175.3 cm,86.4 kg) ist übergewichtig
Person: (m, 46 Jahre,179.1 cm,92.7 kg) ist übergewichtig
Person: (m, 43 Jahre,177.8 cm,93.6 kg) ist übergewichtig
Person: (m, 18 Jahre,170.8 cm,93.2 kg) ist fettleibig
Person: (m, 21 Jahre,188.0 cm,93.2 kg) ist übergewichtig
Person: (m, 55 Jahre,185.4 cm,94.1 kg) ist übergewichtig
Person: (m, 42 Jahre,168.9 cm,75.0 kg) ist übergewichtig
Person: (m, 40 Jahre,180.3 cm,85.5 kg) ist übergewichtig
Person: (m, 26 Jahre,182.9 cm,87.3 kg) ist übergewichtig
Person: (m, 35 Jahre,160.0 cm,72.3 kg) ist übergewichtig
Person: (m, 37 Jahre,180.3 cm,88.6 kg) ist übergewichtig
Person: (m, 34 Jahre,167.6 cm,75.5 kg) ist übergewichtig
Person: (m, 25 Jahre,186.7 cm,101.4 kg) ist übergewichtig
Person: (m, 30 Jahre,175.3 cm,91.1 kg) ist übergewichtig
Person: (m, 27 Jahre,175.9 cm,77.7 kg) ist übergewichtig
Person: (m, 42 Jahre,175.3 cm,81.8 kg) ist übergewichtig
Person: (m, 46 Jahre,181.6 cm,84.5 kg) ist übergewichtig
Person: (m, 43 Jahre,182.9 cm,85.0 kg) ist übergewichtig
Person: (m, 28 Jahre,177.8 cm,102.5 kg) ist fettleibig
Person: (m, 36 Jahre,176.5 cm,87.9 kg) ist übergewichtig
Person: (m, 48 Jahre,188.0 cm,94.3 kg) ist übergewichtig
Person: (m, 45 Jahre,170.2 cm,77.3 kg) ist übergewichtig
Person: (m, 39 Jahre,167.6 cm,72.3 kg) ist übergewichtig
Person: (m, 65 Jahre,174.0 cm,80.0 kg) ist übergewichtig
Person: (m, 45 Jahre,176.5 cm,82.3 kg) ist übergewichtig
Person: (m, 55 Jahre,167.6 cm,74.1 kg) ist übergewichtig
Person: (m, 35 Jahre,167.6 cm,76.3 kg) ist übergewichtig
Person: (m, 26 Jahre,183.0 cm,90.9 kg) ist übergewichtig
Person: (m, 43 Jahre,179.1 cm,89.1 kg) ist übergewichtig
Person: (m, 26 Jahre,177.8 cm,82.7 kg) ist übergewichtig
Person: (m, 30 Jahre,190.5 cm,98.2 kg) ist übergewichtig
Person: (m, 24 Jahre,177.8 cm,84.1 kg) ist übergewichtig
Person: (m, 35 Jahre,180.3 cm,83.2 kg) ist übergewichtig
Person: (m, 37 Jahre,180.3 cm,83.2 kg) ist übergewichtig
Person: (f, 25 Jahre,157.0 cm,63.0 kg) ist übergewichtig
Person: (f, 22 Jahre,166.0 cm,69.8 kg) ist übergewichtig
Person: (f, 40 Jahre,160.2 cm,75.2 kg) ist übergewichtig
Person: (f, 29 Jahre,153.4 cm,42.0 kg) ist untergewichtig
Person: (f, 23 Jahre,168.2 cm,49.2 kg) ist untergewichtig
Person: (f, 26 Jahre,175.0 cm,82.5 kg) ist übergewichtig
Person: (f, 29 Jahre,176.5 cm,87.8 kg) ist übergewichtig
Person: (f, 22 Jahre,170.2 cm,72.8 kg) ist übergewichtig
Person: (f, 30 Jahre,174.0 cm,54.5 kg) ist untergewichtig
Person: (f, 19 Jahre,160.0 cm,47.0 kg) ist untergewichtig
Person: (f, 22 Jahre,176.5 cm,83.0 kg) ist übergewichtig
Person: (f, 31 Jahre,170.0 cm,73.2 kg) ist übergewichtig
Person: (f, 19 Jahre,161.3 cm,67.9 kg) ist übergewichtig
Person: (f, 22 Jahre,170.0 cm,72.9 kg) ist übergewichtig
Person: (f, 19 Jahre,160.7 cm,69.1 kg) ist übergewichtig
Person: (f, 19 Jahre,160.0 cm,74.3 kg) ist übergewichtig
Person: (f, 20 Jahre,165.7 cm,73.1 kg) ist übergewichtig
Person: (f, 41 Jahre,161.0 cm,80.0 kg) ist fettleibig
Person: (f, 47 Jahre,174.0 cm,75.7 kg) ist übergewichtig
Person: (f, 22 Jahre,152.0 cm,59.3 kg) ist übergewichtig
Person: (f, 23 Jahre,164.1 cm,71.6 kg) ist übergewichtig
Person: (f, 30 Jahre,169.5 cm,52.8 kg) ist untergewichtig
Person: (f, 24 Jahre,159.4 cm,45.7 kg) ist untergewichtig
Person: (f, 31 Jahre,151.1 cm,73.2 kg) ist fettleibig
Person: (f, 22 Jahre,163.0 cm,72.0 kg) ist übergewichtig
Person: (f, 34 Jahre,172.7 cm,105.2 kg) ist fettleibig
Person: (f, 21 Jahre,160.0 cm,45.0 kg) ist untergewichtig
Person: (f, 32 Jahre,156.5 cm,67.2 kg) ist übergewichtig
Person: (f, 20 Jahre,160.0 cm,43.2 kg) ist untergewichtig
Person: (f, 19 Jahre,156.0 cm,64.4 kg) ist übergewichtig
Person: (f, 36 Jahre,173.4 cm,52.7 kg) ist untergewichtig
Person: (f, 28 Jahre,165.1 cm,72.3 kg) ist übergewichtig
Person: (f, 45 Jahre,152.4 cm,60.4 kg) ist übergewichtig
Person: (f, 41 Jahre,162.6 cm,84.5 kg) ist fettleibig
Person: (f, 36 Jahre,167.6 cm,76.4 kg) ist übergewichtig
Person: (f, 40 Jahre,166.4 cm,70.7 kg) ist übergewichtig
Person: (f, 24 Jahre,172.7 cm,75.9 kg) ist übergewichtig
Person: (f, 41 Jahre,162.6 cm,70.5 kg) ist übergewichtig
Person: (f, 36 Jahre,157.5 cm,63.6 kg) ist übergewichtig
Person: (f, 26 Jahre,165.1 cm,80.9 kg) ist übergewichtig
Person: (f, 35 Jahre,161.3 cm,70.5 kg) ist übergewichtig
Person: (f, 26 Jahre,165.1 cm,86.3 kg) ist fettleibig
Person: (f, 25 Jahre,162.6 cm,66.4 kg) ist übergewichtig
Person: (f, 44 Jahre,152.4 cm,67.3 kg) ist übergewichtig
Person: (f, 26 Jahre,170.2 cm,73.6 kg) ist übergewichtig
Person: (f, 43 Jahre,165.1 cm,104.1 kg) ist fettleibig
Person: (f, 32 Jahre,174.0 cm,55.5 kg) ist untergewichtig
Person: (f, 41 Jahre,170.2 cm,77.3 kg) ist übergewichtig
Person: (f, 33 Jahre,160.0 cm,80.5 kg) ist fettleibig
Person: (f, 28 Jahre,167.6 cm,72.3 kg) ist übergewichtig
Person: (f, 37 Jahre,162.6 cm,81.8 kg) ist fettleibig
Person: (f, 37 Jahre,171.4 cm,53.4 kg) ist untergewichtig
Person: (f, 26 Jahre,174.0 cm,55.5 kg) ist untergewichtig
Person: (f, 34 Jahre,160.0 cm,64.1 kg) ist übergewichtig
Person: (f, 34 Jahre,160.0 cm,75.5 kg) ist übergewichtig
Person: (f, 40 Jahre,157.5 cm,76.8 kg) ist fettleibig
